Real GDP Growth Rate India,Date
7.1,01-01-2015
7.6,01-04-2015
8,01-07-2015
7.2,01-10-2015
9.1,01-01-2016
8.7,01-04-2016
9.7,01-07-2016
8.6,01-10-2016
6.3,01-01-2017
6.1,01-04-2017
5.3,01-07-2017
6.7,01-10-2017
8.9,01-01-2018
7.5,01-04-2018
6.5,01-07-2018
6.2,01-10-2018
5.7,01-01-2019
5.1,01-04-2019
4.3,01-07-2019
3.3,01-10-2019
2.9,01-01-2020
-23.1,01-04-2020
-5.8,01-07-2020
1.8,01-10-2020
3.3,01-01-2021
22.6,01-04-2021
9.9,01-07-2021
5.5,01-10-2021
4.5,01-01-2022
13.5,01-04-2022
6,01-07-2022
4.8,01-10-2022
6.9,01-01-2023
9.7,01-04-2023
9.3,01-07-2023
9.5,01-10-2023
8.4,01-01-2024
6.5,01-04-2024
5.6,01-07-2024
6.2,01-10-2024
6.4,01-01-2025
