observation_date,A191RL1Q225SBEA
01-01-2015,3.6
01-04-2015,2.5
01-07-2015,1.6
01-10-2015,0.7
01-01-2016,2.3
01-04-2016,1.3
01-07-2016,2.9
01-10-2016,2.2
01-01-2017,2
01-04-2017,2.3
01-07-2017,3.2
01-10-2017,4.6
01-01-2018,3.3
01-04-2018,2.1
01-07-2018,2.5
01-10-2018,0.6
01-01-2019,2.5
01-04-2019,3.4
01-07-2019,4.8
01-10-2019,2.8
01-01-2020,-5.5
01-04-2020,-28.1
01-07-2020,35.2
01-10-2020,4.4
01-01-2021,5.6
01-04-2021,6.4
01-07-2021,3.5
01-10-2021,7.4
01-01-2022,-1
01-04-2022,0.3
01-07-2022,2.7
01-10-2022,3.4
01-01-2023,2.8
01-04-2023,2.4
01-07-2023,4.4
01-10-2023,3.2
01-01-2024,1.6
01-04-2024,3
01-07-2024,3.1
01-10-2024,2.3
