Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,8.6,7.88,8.25,8.48,8.33,6.77,7.39,7.03,5.63,4.62,3.27,4.28
2015,5.19,5.37,5.25,4.87,5.01,5.4,3.69,3.74,4.41,5,5.41,5.61
2016,5.69,5.26,4.83,5.47,5.76,5.77,6.07,5.05,4.39,4.2,3.63,3.41
2017,3.17,3.65,3.89,2.99,2.18,1.46,2.36,3.28,3.28,3.58,4.88,5.21
2018,5.07,4.44,4.28,4.58,4.87,4.92,4.17,3.69,3.7,3.38,2.33,2.11
2019,1.97,2.57,2.86,2.99,3.05,3.18,3.15,3.28,3.99,4.62,5.54,7.35
2020,7.59,6.58,5.84,7.22,6.26,6.23,6.73,6.69,7.27,7.61,6.93,4.59
2021,4.06,5.03,5.52,4.23,6.3,6.26,5.59,5.3,4.35,4.48,4.91,5.66
2022,6.01,6.07,6.95,7.79,7.04,7.01,6.71,7,7.41,6.77,5.88,5.72
2023,6.52,6.44,5.66,4.7,4.31,4.87,7.44,6.83,5.02,4.87,5.55,5.69
2024,5.1,5.09,4.85,4.83,4.8,5.08,3.6,3.65,5.49,6.21,5.48,5.22
2025,4.31,3.61,,,,,,,,,,
