Date,Closed
02-01-2015,"2,058.20"
05-01-2015,"2,020.60"
06-01-2015,"2,002.60"
07-01-2015,"2,025.90"
08-01-2015,"2,062.10"
09-01-2015,"2,044.80"
12-01-2015,"2,028.30"
13-01-2015,"2,023.00"
14-01-2015,"2,011.30"
15-01-2015,"1,992.70"
16-01-2015,"2,019.40"
20-01-2015,"2,022.50"
21-01-2015,"2,032.10"
22-01-2015,"2,063.20"
23-01-2015,"2,051.80"
26-01-2015,"2,057.10"
27-01-2015,"2,029.50"
28-01-2015,"2,002.20"
29-01-2015,"2,021.20"
30-01-2015,"1,995.00"
02-02-2015,"2,020.80"
03-02-2015,"2,050.00"
04-02-2015,"2,041.50"
05-02-2015,"2,062.50"
06-02-2015,"2,055.50"
09-02-2015,"2,046.70"
10-02-2015,"2,068.60"
11-02-2015,"2,068.50"
12-02-2015,"2,088.50"
13-02-2015,"2,097.00"
17-02-2015,"2,100.30"
18-02-2015,"2,099.70"
19-02-2015,"2,097.40"
20-02-2015,"2,110.30"
23-02-2015,"2,109.70"
24-02-2015,"2,115.50"
25-02-2015,"2,113.90"
26-02-2015,"2,110.70"
27-02-2015,"2,104.50"
02-03-2015,"2,117.40"
03-03-2015,"2,107.80"
04-03-2015,"2,098.50"
05-03-2015,"2,101.00"
06-03-2015,"2,071.30"
09-03-2015,"2,079.40"
10-03-2015,"2,044.20"
11-03-2015,"2,040.20"
12-03-2015,"2,065.90"
13-03-2015,"2,053.40"
16-03-2015,"2,081.20"
17-03-2015,"2,074.30"
18-03-2015,"2,099.50"
19-03-2015,"2,089.30"
20-03-2015,"2,108.10"
23-03-2015,"2,104.40"
24-03-2015,"2,091.50"
25-03-2015,"2,061.10"
26-03-2015,"2,056.20"
27-03-2015,"2,061.00"
30-03-2015,"2,086.20"
31-03-2015,"2,067.90"
01-04-2015,"2,059.70"
02-04-2015,"2,067.00"
06-04-2015,"2,080.60"
07-04-2015,"2,076.30"
08-04-2015,"2,081.90"
09-04-2015,"2,091.20"
10-04-2015,"2,102.10"
13-04-2015,"2,092.40"
14-04-2015,"2,095.80"
15-04-2015,"2,106.60"
16-04-2015,"2,105.00"
17-04-2015,"2,081.20"
20-04-2015,"2,100.40"
21-04-2015,"2,097.30"
22-04-2015,"2,108.00"
23-04-2015,"2,112.90"
24-04-2015,"2,117.70"
27-04-2015,"2,108.90"
28-04-2015,"2,114.80"
29-04-2015,"2,106.80"
30-04-2015,"2,085.50"
01-05-2015,"2,108.30"
04-05-2015,"2,114.50"
05-05-2015,"2,089.50"
06-05-2015,"2,080.20"
07-05-2015,"2,088.00"
08-05-2015,"2,116.10"
11-05-2015,"2,105.30"
12-05-2015,"2,099.10"
13-05-2015,"2,098.50"
14-05-2015,"2,121.10"
15-05-2015,"2,122.70"
18-05-2015,"2,129.20"
19-05-2015,"2,127.80"
20-05-2015,"2,125.80"
21-05-2015,"2,130.80"
22-05-2015,"2,126.10"
26-05-2015,"2,104.20"
27-05-2015,"2,123.50"
28-05-2015,"2,120.80"
29-05-2015,"2,107.40"
01-06-2015,"2,111.70"
02-06-2015,"2,109.60"
03-06-2015,"2,114.10"
04-06-2015,"2,095.80"
05-06-2015,"2,092.80"
08-06-2015,"2,079.30"
09-06-2015,"2,080.20"
10-06-2015,"2,105.20"
11-06-2015,"2,108.90"
12-06-2015,"2,094.10"
15-06-2015,"2,084.40"
16-06-2015,"2,096.30"
17-06-2015,"2,100.40"
18-06-2015,"2,121.20"
19-06-2015,"2,110.00"
22-06-2015,"2,122.80"
23-06-2015,"2,124.20"
24-06-2015,"2,108.60"
25-06-2015,"2,102.30"
26-06-2015,"2,101.50"
29-06-2015,"2,057.60"
30-06-2015,"2,063.10"
01-07-2015,"2,077.40"
02-07-2015,"2,076.80"
06-07-2015,"2,068.80"
07-07-2015,"2,081.30"
08-07-2015,"2,046.70"
09-07-2015,"2,051.30"
10-07-2015,"2,076.60"
13-07-2015,"2,099.60"
14-07-2015,"2,108.90"
15-07-2015,"2,107.40"
16-07-2015,"2,124.30"
17-07-2015,"2,126.60"
20-07-2015,"2,128.30"
21-07-2015,"2,119.20"
22-07-2015,"2,114.20"
23-07-2015,"2,102.20"
24-07-2015,"2,079.70"
27-07-2015,"2,067.60"
28-07-2015,"2,093.20"
29-07-2015,"2,108.60"
30-07-2015,"2,108.60"
31-07-2015,"2,103.80"
03-08-2015,"2,098.00"
04-08-2015,"2,093.30"
05-08-2015,"2,099.80"
06-08-2015,"2,083.60"
07-08-2015,"2,077.60"
10-08-2015,"2,104.20"
11-08-2015,"2,084.10"
12-08-2015,"2,086.10"
13-08-2015,"2,083.40"
14-08-2015,"2,091.50"
17-08-2015,"2,102.40"
18-08-2015,"2,096.90"
19-08-2015,"2,079.60"
20-08-2015,"2,035.70"
21-08-2015,"1,970.90"
24-08-2015,"1,893.20"
25-08-2015,"1,867.60"
26-08-2015,"1,940.50"
27-08-2015,"1,987.70"
28-08-2015,"1,988.90"
31-08-2015,"1,972.20"
01-09-2015,"1,913.80"
02-09-2015,"1,948.90"
03-09-2015,"1,951.10"
04-09-2015,"1,921.20"
08-09-2015,"1,969.40"
09-09-2015,"1,942.00"
10-09-2015,"1,952.30"
11-09-2015,"1,961.00"
14-09-2015,"1,953.00"
15-09-2015,"1,978.10"
16-09-2015,"1,995.30"
17-09-2015,"1,990.20"
18-09-2015,"1,958.00"
21-09-2015,"1,967.00"
22-09-2015,"1,942.70"
23-09-2015,"1,938.80"
24-09-2015,"1,932.20"
25-09-2015,"1,931.30"
28-09-2015,"1,881.80"
29-09-2015,"1,884.10"
30-09-2015,"1,920.00"
01-10-2015,"1,923.80"
02-10-2015,"1,951.40"
05-10-2015,"1,987.00"
06-10-2015,"1,979.90"
07-10-2015,"1,995.80"
08-10-2015,"2,013.40"
09-10-2015,"2,014.90"
12-10-2015,"2,017.50"
13-10-2015,"2,003.70"
14-10-2015,"1,994.20"
15-10-2015,"2,023.90"
16-10-2015,"2,033.10"
19-10-2015,"2,033.70"
20-10-2015,"2,030.80"
21-10-2015,"2,018.90"
22-10-2015,"2,052.50"
23-10-2015,"2,075.20"
26-10-2015,"2,071.20"
27-10-2015,"2,065.90"
28-10-2015,"2,090.30"
29-10-2015,"2,089.40"
30-10-2015,"2,079.40"
02-11-2015,"2,104.10"
03-11-2015,"2,109.80"
04-11-2015,"2,102.30"
05-11-2015,"2,099.90"
06-11-2015,"2,099.20"
09-11-2015,"2,078.60"
10-11-2015,"2,081.70"
11-11-2015,"2,075.00"
12-11-2015,"2,046.00"
13-11-2015,"2,023.00"
16-11-2015,"2,053.20"
17-11-2015,"2,050.40"
18-11-2015,"2,083.60"
19-11-2015,"2,081.20"
20-11-2015,"2,089.20"
23-11-2015,"2,086.60"
24-11-2015,"2,089.10"
25-11-2015,"2,088.90"
27-11-2015,"2,090.10"
30-11-2015,"2,080.40"
01-12-2015,"2,102.60"
02-12-2015,"2,079.50"
03-12-2015,"2,049.60"
04-12-2015,"2,091.70"
07-12-2015,"2,077.10"
08-12-2015,"2,063.60"
09-12-2015,"2,047.60"
10-12-2015,"2,052.20"
11-12-2015,"2,012.40"
14-12-2015,"2,021.90"
15-12-2015,"2,043.40"
16-12-2015,"2,073.10"
17-12-2015,"2,041.90"
18-12-2015,"2,005.50"
21-12-2015,"2,021.20"
22-12-2015,"2,039.00"
23-12-2015,"2,064.30"
24-12-2015,"2,061.00"
28-12-2015,"2,056.50"
29-12-2015,"2,078.40"
30-12-2015,"2,063.40"
31-12-2015,"2,043.90"
04-01-2016,"2,012.70"
05-01-2016,"2,016.70"
06-01-2016,"1,990.30"
07-01-2016,"1,943.10"
08-01-2016,"1,922.00"
11-01-2016,"1,923.70"
12-01-2016,"1,938.70"
13-01-2016,"1,890.30"
14-01-2016,"1,921.80"
15-01-2016,"1,880.30"
19-01-2016,"1,881.30"
20-01-2016,"1,859.30"
21-01-2016,"1,869.00"
22-01-2016,"1,906.90"
25-01-2016,"1,877.10"
26-01-2016,"1,903.60"
27-01-2016,"1,883.00"
28-01-2016,"1,893.40"
29-01-2016,"1,940.20"
01-02-2016,"1,939.40"
02-02-2016,"1,903.00"
03-02-2016,"1,912.50"
04-02-2016,"1,915.50"
05-02-2016,"1,880.00"
08-02-2016,"1,853.40"
09-02-2016,"1,852.20"
10-02-2016,"1,851.90"
11-02-2016,"1,829.10"
12-02-2016,"1,864.80"
16-02-2016,"1,895.60"
17-02-2016,"1,926.80"
18-02-2016,"1,917.80"
19-02-2016,"1,917.80"
22-02-2016,"1,945.50"
23-02-2016,"1,921.30"
24-02-2016,"1,929.80"
25-02-2016,"1,951.70"
26-02-2016,"1,948.00"
29-02-2016,"1,932.20"
01-03-2016,"1,978.30"
02-03-2016,"1,986.50"
03-03-2016,"1,993.40"
04-03-2016,"2,000.00"
07-03-2016,"2,001.80"
08-03-2016,"1,979.30"
09-03-2016,"1,989.30"
10-03-2016,"1,989.60"
11-03-2016,"2,022.20"
14-03-2016,"2,019.60"
15-03-2016,"2,015.90"
16-03-2016,"2,027.20"
17-03-2016,"2,040.60"
18-03-2016,"2,049.60"
21-03-2016,"2,051.60"
22-03-2016,"2,049.80"
23-03-2016,"2,036.70"
24-03-2016,"2,035.90"
28-03-2016,"2,037.00"
29-03-2016,"2,055.00"
30-03-2016,"2,063.90"
31-03-2016,"2,059.70"
01-04-2016,"2,072.80"
04-04-2016,"2,066.10"
05-04-2016,"2,045.20"
06-04-2016,"2,066.70"
07-04-2016,"2,041.90"
08-04-2016,"2,047.60"
11-04-2016,"2,042.00"
12-04-2016,"2,061.70"
13-04-2016,"2,082.40"
14-04-2016,"2,082.80"
15-04-2016,"2,080.70"
18-04-2016,"2,094.30"
19-04-2016,"2,100.80"
20-04-2016,"2,102.40"
21-04-2016,"2,091.50"
22-04-2016,"2,091.60"
25-04-2016,"2,087.80"
26-04-2016,"2,091.70"
27-04-2016,"2,095.20"
28-04-2016,"2,075.80"
29-04-2016,"2,065.30"
02-05-2016,"2,081.40"
03-05-2016,"2,063.40"
04-05-2016,"2,051.10"
05-05-2016,"2,050.60"
06-05-2016,"2,057.10"
09-05-2016,"2,058.70"
10-05-2016,"2,084.40"
11-05-2016,"2,064.50"
12-05-2016,"2,064.10"
13-05-2016,"2,046.60"
16-05-2016,"2,066.70"
17-05-2016,"2,047.20"
18-05-2016,"2,047.60"
19-05-2016,"2,040.00"
20-05-2016,"2,052.30"
23-05-2016,"2,048.00"
24-05-2016,"2,076.10"
25-05-2016,"2,090.50"
26-05-2016,"2,090.10"
27-05-2016,"2,099.10"
31-05-2016,"2,097.00"
01-06-2016,"2,099.30"
02-06-2016,"2,105.30"
03-06-2016,"2,099.10"
06-06-2016,"2,109.40"
07-06-2016,"2,112.10"
08-06-2016,"2,119.10"
09-06-2016,"2,115.50"
10-06-2016,"2,096.10"
13-06-2016,"2,079.10"
14-06-2016,"2,075.30"
15-06-2016,"2,071.50"
16-06-2016,"2,078.00"
17-06-2016,"2,071.20"
20-06-2016,"2,083.20"
21-06-2016,"2,088.90"
22-06-2016,"2,085.40"
23-06-2016,"2,113.30"
24-06-2016,"2,037.40"
27-06-2016,"2,000.50"
28-06-2016,"2,036.10"
29-06-2016,"2,070.80"
30-06-2016,"2,098.90"
01-07-2016,"2,102.90"
05-07-2016,"2,088.60"
06-07-2016,"2,099.70"
07-07-2016,"2,097.90"
08-07-2016,"2,129.90"
11-07-2016,"2,137.20"
12-07-2016,"2,152.10"
13-07-2016,"2,152.40"
14-07-2016,"2,163.80"
15-07-2016,"2,161.70"
18-07-2016,"2,166.90"
19-07-2016,"2,163.80"
20-07-2016,"2,173.00"
21-07-2016,"2,165.20"
22-07-2016,"2,175.00"
25-07-2016,"2,168.50"
26-07-2016,"2,169.20"
27-07-2016,"2,166.60"
28-07-2016,"2,170.10"
29-07-2016,"2,173.60"
01-08-2016,"2,170.80"
02-08-2016,"2,157.00"
03-08-2016,"2,163.80"
04-08-2016,"2,164.20"
05-08-2016,"2,182.90"
08-08-2016,"2,180.90"
09-08-2016,"2,181.70"
10-08-2016,"2,175.50"
11-08-2016,"2,185.80"
12-08-2016,"2,184.10"
15-08-2016,"2,190.20"
16-08-2016,"2,178.20"
17-08-2016,"2,182.20"
18-08-2016,"2,187.00"
19-08-2016,"2,183.90"
22-08-2016,"2,182.60"
23-08-2016,"2,186.90"
24-08-2016,"2,175.40"
25-08-2016,"2,172.50"
26-08-2016,"2,169.00"
29-08-2016,"2,180.40"
30-08-2016,"2,176.10"
31-08-2016,"2,170.90"
01-09-2016,"2,170.90"
02-09-2016,"2,180.00"
06-09-2016,"2,186.50"
07-09-2016,"2,186.20"
08-09-2016,"2,181.30"
09-09-2016,"2,127.80"
12-09-2016,"2,159.00"
13-09-2016,"2,127.00"
14-09-2016,"2,125.80"
15-09-2016,"2,147.30"
16-09-2016,"2,139.20"
19-09-2016,"2,139.10"
20-09-2016,"2,139.80"
21-09-2016,"2,163.10"
22-09-2016,"2,177.20"
23-09-2016,"2,164.70"
26-09-2016,"2,146.10"
27-09-2016,"2,159.90"
28-09-2016,"2,171.40"
29-09-2016,"2,151.10"
30-09-2016,"2,168.30"
03-10-2016,"2,161.20"
04-10-2016,"2,150.50"
05-10-2016,"2,159.70"
06-10-2016,"2,160.80"
07-10-2016,"2,153.70"
10-10-2016,"2,163.70"
11-10-2016,"2,136.70"
12-10-2016,"2,139.20"
13-10-2016,"2,132.60"
14-10-2016,"2,133.00"
17-10-2016,"2,126.50"
18-10-2016,"2,139.60"
19-10-2016,"2,144.30"
20-10-2016,"2,141.30"
21-10-2016,"2,141.20"
24-10-2016,"2,151.30"
25-10-2016,"2,143.20"
26-10-2016,"2,139.40"
27-10-2016,"2,133.00"
28-10-2016,"2,126.40"
31-10-2016,"2,126.20"
01-11-2016,"2,111.70"
02-11-2016,"2,097.90"
03-11-2016,"2,088.70"
04-11-2016,"2,085.20"
07-11-2016,"2,131.50"
08-11-2016,"2,139.60"
09-11-2016,"2,163.30"
10-11-2016,"2,167.50"
11-11-2016,"2,164.40"
14-11-2016,"2,164.20"
15-11-2016,"2,180.40"
16-11-2016,"2,176.90"
17-11-2016,"2,187.10"
18-11-2016,"2,181.90"
21-11-2016,"2,198.20"
22-11-2016,"2,202.90"
23-11-2016,"2,204.70"
25-11-2016,"2,213.30"
28-11-2016,"2,201.70"
29-11-2016,"2,204.70"
30-11-2016,"2,198.80"
01-12-2016,"2,191.10"
02-12-2016,"2,191.90"
