Date,GDP Rate India,GDP Rate USA
01-01-2015,7.1,3.6
01-04-2015,7.6,2.5
01-07-2015,8,1.6
01-10-2015,7.2,0.7
01-01-2016,9.1,2.3
01-04-2016,8.7,1.3
01-07-2016,9.7,2.9
01-10-2016,8.6,2.2
01-01-2017,6.3,2
01-04-2017,6.1,2.3
01-07-2017,5.3,3.2
01-10-2017,6.7,4.6
01-01-2018,8.9,3.3
01-04-2018,7.5,2.1
01-07-2018,6.5,2.5
01-10-2018,6.2,0.6
01-01-2019,5.7,2.5
01-04-2019,5.1,3.4
01-07-2019,4.3,4.8
01-10-2019,3.3,2.8
01-01-2020,2.9,-5.5
01-04-2020,-23.1,-28.1
01-07-2020,-5.8,35.2
01-10-2020,1.8,4.4
01-01-2021,3.3,5.6
01-04-2021,22.6,6.4
01-07-2021,9.9,3.5
01-10-2021,5.5,7.4
01-01-2022,4.5,-1
01-04-2022,13.5,0.3
01-07-2022,6,2.7
01-10-2022,4.8,3.4
01-01-2023,6.9,2.8
01-04-2023,9.7,2.4
01-07-2023,9.3,4.4
01-10-2023,9.5,3.2
01-01-2024,8.4,1.6
01-04-2024,6.5,3
01-07-2024,5.6,3.1
01-10-2024,6.2,2.3
01-01-2025,6.4,
