Date,Inflation_Rate_India,Inflation_Rate_US
01-01-2015,5.19,-0.1
01-02-2015,5.37,0
01-03-2015,5.25,-0.1
01-04-2015,4.87,-0.2
01-05-2015,5.01,0
01-06-2015,5.4,0.1
01-07-2015,3.69,0.2
01-08-2015,3.74,0.2
01-09-2015,4.41,0
01-10-2015,5,0.2
01-11-2015,5.41,0.5
01-12-2015,5.61,0.7
01-01-2016,5.69,1.4
01-02-2016,5.26,1
01-03-2016,4.83,0.9
01-04-2016,5.47,1.1
01-05-2016,5.76,1
01-06-2016,5.77,1
01-07-2016,6.07,0.8
01-08-2016,5.05,1.1
01-09-2016,4.39,1.5
01-10-2016,4.2,1.6
01-11-2016,3.63,1.7
01-12-2016,3.41,2.1
01-01-2017,3.17,2.5
01-02-2017,3.65,2.7
01-03-2017,3.89,2.4
01-04-2017,2.99,2.2
01-05-2017,2.18,1.9
01-06-2017,1.46,1.6
01-07-2017,2.36,1.7
01-08-2017,3.28,1.9
01-09-2017,3.28,2.2
01-10-2017,3.58,2
01-11-2017,4.88,2.2
01-12-2017,5.21,2.1
01-01-2018,5.07,2.1
01-02-2018,4.44,2.2
01-03-2018,4.28,2.4
01-04-2018,4.58,2.5
01-05-2018,4.87,2.8
01-06-2018,4.92,2.9
01-07-2018,4.17,2.9
01-08-2018,3.69,2.7
01-09-2018,3.7,2.3
01-10-2018,3.38,2.5
01-11-2018,2.33,2.2
01-12-2018,2.11,1.9
01-01-2019,1.97,1.6
01-02-2019,2.57,1.5
01-03-2019,2.86,1.9
01-04-2019,2.99,2
01-05-2019,3.05,1.8
01-06-2019,3.18,1.6
01-07-2019,3.15,1.8
01-08-2019,3.28,1.7
01-09-2019,3.99,1.7
01-10-2019,4.62,1.8
01-11-2019,5.54,2.1
01-12-2019,7.35,2.3
01-01-2020,7.59,2.5
01-02-2020,6.58,2.3
01-03-2020,5.84,1.5
01-04-2020,7.22,0.3
01-05-2020,6.26,0.1
01-06-2020,6.23,0.6
01-07-2020,6.73,1
01-08-2020,6.69,1.3
01-09-2020,7.27,1.4
01-10-2020,7.61,1.2
01-11-2020,6.93,1.2
01-12-2020,4.59,1.4
01-01-2021,4.06,1.4
01-02-2021,5.03,1.7
01-03-2021,5.52,2.6
01-04-2021,4.23,4.2
01-05-2021,6.3,5
01-06-2021,6.26,5.4
01-07-2021,5.59,5.4
01-08-2021,5.3,5.3
01-09-2021,4.35,5.4
01-10-2021,4.48,6.2
01-11-2021,4.91,6.8
01-12-2021,5.66,7
01-01-2022,6.01,7.5
01-02-2022,6.07,7.9
01-03-2022,6.95,8.5
01-04-2022,7.79,8.3
01-05-2022,7.04,8.6
01-06-2022,7.01,9.1
01-07-2022,6.71,8.5
01-08-2022,7,8.3
01-09-2022,7.41,8.2
01-10-2022,6.77,7.7
01-11-2022,5.88,7.1
01-12-2022,5.72,6.5
01-01-2023,6.52,6.4
01-02-2023,6.44,6
01-03-2023,5.66,5
01-04-2023,4.7,4.9
01-05-2023,4.31,4
01-06-2023,4.87,3
01-07-2023,7.44,3.2
01-08-2023,6.83,3.7
01-09-2023,5.02,3.7
01-10-2023,4.87,3.2
01-11-2023,5.55,3.1
01-12-2023,5.69,3.4
01-01-2024,5.1,3.1
01-02-2024,5.09,3.2
01-03-2024,4.85,3.5
01-04-2024,4.83,3.4
01-05-2024,4.8,3.3
01-06-2024,5.08,3
01-07-2024,3.6,2.9
01-08-2024,3.65,2.5
01-09-2024,5.49,2.4
01-10-2024,6.21,2.6
01-11-2024,5.48,2.7
01-12-2024,5.22,2.9
01-01-2025,4.31,3
01-02-2025,3.61,2.8
