Date,Interest Rate USA,Interest Rate India
01-01-2015,0.11,8.75
01-02-2015,0.11,8.75
01-03-2015,0.11,8.5
01-04-2015,0.12,8.5
01-05-2015,0.12,8.5
01-06-2015,0.13,8.25
01-07-2015,0.13,8.25
01-08-2015,0.14,8.25
01-09-2015,0.14,8.25
01-10-2015,0.12,7.75
01-11-2015,0.12,7.75
01-12-2015,0.24,7.75
01-01-2016,0.34,7.75
01-02-2016,0.38,7.75
01-03-2016,0.36,7.75
01-04-2016,0.37,7.15
01-05-2016,0.37,7
01-06-2016,0.38,7
01-07-2016,0.39,7
01-08-2016,0.4,7
01-09-2016,0.4,7
01-10-2016,0.4,6.75
01-11-2016,0.41,6.75
01-12-2016,0.54,6.75
01-01-2017,0.65,6.75
01-02-2017,0.66,6.75
01-03-2017,0.79,6.75
01-04-2017,0.9,6.5
01-05-2017,0.91,6.5
01-06-2017,1.04,6.5
01-07-2017,1.15,6.5
01-08-2017,1.16,6.25
01-09-2017,1.15,6.25
01-10-2017,1.15,6.25
01-11-2017,1.16,6.25
01-12-2017,1.3,6.25
01-01-2018,1.41,6.25
01-02-2018,1.42,6.25
01-03-2018,1.51,6.25
01-04-2018,1.69,6.25
01-05-2018,1.7,6.25
01-06-2018,1.82,6.45
01-07-2018,1.91,6.5
01-08-2018,1.91,6.75
01-09-2018,1.95,6.75
01-10-2018,2.19,6.75
01-11-2018,2.2,6.75
01-12-2018,2.27,6.75
01-01-2019,2.4,6.75
01-02-2019,2.4,6.56
01-03-2019,2.41,6.5
01-04-2019,2.42,6.25
01-05-2019,2.39,6.25
01-06-2019,2.38,6
01-07-2019,2.4,6
01-08-2019,2.13,5.72
01-09-2019,2.04,5.65
01-10-2019,1.83,5.4
01-11-2019,1.55,5.4
01-12-2019,1.55,5.4
01-01-2020,1.55,5.4
01-02-2020,1.58,5.4
01-03-2020,0.65,5.21
01-04-2020,0.05,4.65
01-05-2020,0.05,4.49
01-06-2020,0.08,4.25
01-07-2020,0.09,4.25
01-08-2020,0.1,4.25
01-09-2020,0.09,4.25
01-10-2020,0.09,4.25
01-11-2020,0.09,4.25
01-12-2020,0.09,4.25
01-01-2021,0.09,4.25
01-02-2021,0.08,4.25
01-03-2021,0.07,4.25
01-04-2021,0.07,4.25
01-05-2021,0.06,4.25
01-06-2021,0.08,4.25
01-07-2021,0.1,4.25
01-08-2021,0.09,4.25
01-09-2021,0.08,4.25
01-10-2021,0.08,4.25
01-11-2021,0.08,4.25
01-12-2021,0.08,4.25
01-01-2022,0.08,4.25
01-02-2022,0.08,4.25
01-03-2022,0.2,4.25
01-04-2022,0.33,4.25
01-05-2022,0.77,4.65
01-06-2022,1.21,5.03
01-07-2022,1.68,5.15
01-08-2022,2.33,5.65
01-09-2022,2.56,5.75
01-10-2022,3.08,6.15
01-11-2022,3.78,6.15
01-12-2022,4.1,6.43
01-01-2023,4.33,6.5
01-02-2023,4.57,6.69
01-03-2023,4.65,6.75
01-04-2023,4.83,6.75
01-05-2023,5.06,6.75
01-06-2023,5.08,6.75
01-07-2023,5.12,6.75
01-08-2023,5.33,6.75
01-09-2023,5.33,6.75
01-10-2023,5.33,6.75
01-11-2023,5.33,6.75
01-12-2023,5.33,6.75
01-01-2024,5.33,6.75
01-02-2024,5.33,6.75
01-03-2024,5.33,6.75
01-04-2024,5.33,6.75
01-05-2024,5.33,6.75
01-06-2024,5.33,6.75
01-07-2024,5.33,6.75
01-08-2024,5.33,6.75
01-09-2024,5.13,6.75
01-10-2024,4.83,6.75
01-11-2024,4.64,6.75
01-12-2024,4.48,6.75
01-01-2025,4.33,6.75
01-02-2025,4.33,6.5
