Date,Exchange Rate (USD/INR),Exchange_Rate_Lag_1,Exchange_Rate_Lag_3,Exchange_Rate_Lag_7,Exchange_Rate_MA_3,Exchange_Rate_MA_7,Exchange_Rate_Volatility_7,Exchange_Rate_Percent_Change,NIFTY,S&P500,NIFTY_Lag_1,SP500_Lag_1,NIFTY_Lag_3,SP500_Lag_3,NIFTY_Lag_7,SP500_Lag_7,NIFTY_MA_3,SP500_MA_3,NIFTY_MA_7,SP500_MA_7,NIFTY_Percent_Change,SP500_Percent_Change,Interest Rate USA,Interest Rate India,Interest_Rate_India_Change,Interest_Rate_US_Change,Inflation_Rate_India,Inflation_Rate_US,Inflation_India_Change,Inflation_USA_Change,GDP Rate India,GDP Rate USA,GDP_India_Change,GDP_USA_Change,Exports,Imports,Balance,Exports_Percent_Change,Imports_Percent_Change,Trade_Balance_Percent_Change,Unemployment_Rate_India,US_Unemployment_Rate,Unemployment_India_Change,Unemployment_USA_Change,Dollar_Index,Dollar_Index_Percent_Change
2015-01-01,63.028,63.028,63.515,63.513,63.144666666666666,63.35628571428571,0.22977359457063812,0.0,8395.45,2058.2,8395.45,2058.2,8395.45,2058.2,8395.45,2058.2,8300.4,2027.1333333333332,8263.628571428571,2034.642857142857,-0.002030861954987695,-0.018268389855213285,0.11,8.75,0.0,0.0,5.19,-0.1,0.17999999999999972,0.1,7.1,3.6,0.5,-1.1,1543.6,3653.9,-2110.3,0.047032910080331725,-0.09236705985385474,-0.19433255935175098,7.8,5.7,-0.20000000000000018,-0.20000000000000018,103.7607,0.013567757349362441
2015-01-02,63.27,63.028,63.378,63.515,63.10866666666667,63.321285714285715,0.22002099466924893,0.003839563368661647,8395.45,2058.2,8395.45,2058.2,8395.45,2058.2,8395.45,2058.2,8300.4,2027.1333333333332,8263.628571428571,2034.642857142857,-0.002030861954987695,-0.018268389855213285,0.11,8.75,0.0,0.0,5.37,0.0,0.17999999999999972,0.1,7.1,3.6,0.5,-1.1,1616.2,3316.4,-1700.2,0.047032910080331725,-0.09236705985385474,-0.19433255935175098,7.8,5.7,-0.20000000000000018,-0.20000000000000018,105.1685,0.013567757349362441
2015-01-03,63.27,63.27,63.028,63.515,63.18933333333334,63.28628571428572,0.20288971904767927,0.0,8395.45,2058.2,8395.45,2058.2,8395.45,2058.2,8395.45,2058.2,8300.4,2027.1333333333332,8263.628571428571,2034.642857142857,-0.002030861954987695,-0.018268389855213285,0.11,8.5,-0.25,0.0,5.25,-0.1,-0.1200000000000001,-0.1,7.1,3.6,0.5,-1.1,1816.5,4116.3,-2299.8,0.12393268159881199,0.2411952719816668,0.3526643924244208,7.8,5.7,-0.20000000000000018,-0.20000000000000018,107.3647,0.020882678748864958
2015-01-04,63.27,63.27,63.028,63.515,63.27,63.251285714285714,0.17624104165010399,0.0,8395.45,2058.2,8395.45,2058.2,8395.45,2058.2,8395.45,2058.2,8300.4,2027.1333333333332,8263.628571428571,2034.642857142857,-0.002030861954987695,-0.018268389855213285,0.12,8.5,0.0,0.009999999999999995,4.87,-0.2,-0.3799999999999999,-0.1,7.6,2.5,0.5,-1.1,1945.6,4120.3,-2174.7,0.07107074043490225,0.0009717464713456803,-0.054396034437777296,7.8,5.7,-0.20000000000000018,-0.20000000000000018,106.3523,-0.009429542484634124
2015-01-05,63.338,63.27,63.27,63.515,63.29266666666667,63.226,0.14134119474994752,0.001074758969495715,8378.4,2020.6,8395.45,2058.2,8395.45,2058.2,8395.45,2058.2,8300.4,2027.1333333333332,8263.628571428571,2034.642857142857,-0.002030861954987695,-0.018268389855213285,0.12,8.5,0.0,0.0,5.01,0.0,0.13999999999999968,0.2,7.6,2.5,0.5,-1.1,1788.3,4042.0,-2253.7,-0.08084909539473684,-0.019003470621071328,0.03632684968041566,7.8,5.7,-0.20000000000000018,-0.20000000000000018,105.4065,-0.008893084587733413
2015-01-06,63.568,63.338,63.27,63.378,63.391999999999996,63.253142857142855,0.18644340389820988,0.003631311377056301,8127.35,2002.6,8378.4,2020.6,8395.45,2058.2,8395.45,2058.2,8300.4,2027.1333333333332,8263.628571428571,2034.642857142857,-0.029963954931729098,-0.008908245075720078,0.13,8.25,-0.25,0.010000000000000009,5.4,0.1,0.39000000000000057,0.1,7.6,2.5,0.5,-1.1,2315.1,3786.0,-1470.9,0.29458144606609626,-0.06333498268184068,-0.3473399298930646,7.8,5.7,-0.20000000000000018,-0.20000000000000018,106.179,0.007328770047388078
2015-01-07,63.273,63.568,63.27,63.028,63.393,63.28814285714286,0.1579540318905575,-0.004640699723131081,8102.1,2025.9,8127.35,2002.6,8395.45,2058.2,8395.45,2058.2,8202.616666666667,2016.3666666666668,8263.628571428571,2034.642857142857,-0.0031067937273526747,0.011634874662938222,0.13,8.25,0.0,0.0,3.69,0.2,-1.7100000000000004,0.1,8.0,1.6,0.40000000000000036,-0.8999999999999999,1872.2,4102.4,-2230.3,-0.1913092307027774,0.08357105124141562,0.5162825480998028,7.8,5.7,-0.20000000000000018,-0.20000000000000018,108.1236,0.018314355946090988
2015-01-08,62.668,63.273,63.338,63.028,63.16966666666667,63.23671428571429,0.2732780722303083,-0.00956174039479718,8234.6,2062.1,8102.1,2025.9,8378.4,2020.6,8395.45,2058.2,8154.683333333334,2030.2,8263.628571428571,2034.642857142857,0.016353784821219186,0.017868601609161372,0.14,8.25,0.0,0.010000000000000009,3.74,0.2,0.050000000000000266,0.0,8.0,1.6,0.40000000000000036,-0.8999999999999999,1875.1,3805.6,-1930.5,0.0015489798098493601,-0.07234789391575658,-0.13442137828991618,7.8,5.7,-0.20000000000000018,-0.20000000000000018,109.9768,0.017139643889030776
2015-01-09,62.11,62.668,63.568,63.27,62.68366666666666,63.071000000000005,0.50402281694385,-0.008904065870938949,8284.5,2044.8,8234.6,2062.1,8127.35,2002.6,8395.45,2058.2,8207.066666666668,2044.2666666666667,8263.628571428571,2034.642857142857,0.006059796468559364,-0.008389505843557465,0.14,8.25,0.0,0.0,4.41,0.0,0.6699999999999999,-0.2,8.0,1.6,0.40000000000000036,-0.8999999999999999,1725.7,3672.8,-1947.2,-0.07967575062663312,-0.03489594282110564,0.008650608650608627,7.8,5.7,-0.20000000000000018,-0.20000000000000018,110.8513,0.007951677080984432
2015-01-10,62.11,62.11,63.273,63.27,62.296,62.90528571428571,0.6077177838124557,0.0,8284.5,2044.8,8234.6,2062.1,8127.35,2002.6,8395.45,2058.2,8207.066666666668,2044.2666666666667,8263.628571428571,2034.642857142857,0.006059796468559364,-0.008389505843557465,0.12,7.75,-0.5,-0.020000000000000018,5.0,0.2,0.5899999999999999,0.2,7.2,0.7,-0.7999999999999998,-0.9000000000000001,1829.5,3878.9,-2049.4,0.060149504548878685,0.056115225441080385,0.05248562037797866,7.8,5.7,-0.20000000000000018,-0.20000000000000018,109.9036,-0.00854929080669331
