Date,Exchange Rate (USD/INR),Exchange_Rate_Lag_1,Exchange_Rate_Lag_3,Exchange_Rate_MA_3,Exchange_Rate_Volatility_7,Exchange_Rate_Percent_Change,NIFTY,S&P500,NIFTY_Lag_1,SP500_Lag_1,NIFTY_Percent_Change,SP500_Percent_Change,Interest Rate USA,Interest Rate India,Inflation_Rate_India,Inflation_Rate_US,GDP Rate India,GDP Rate USA,GDP_India_Change,GDP_USA_Change,Exports,Imports,Unemployment_Rate_India,US_Unemployment_Rate,Dollar_Index,Dollar_Index_Percent_Change
2015-01-01,63.028,,,,,,8395.45,2058.2,8395.45,2058.2,-0.0020308619549876,-0.0182683898552132,0.11,8.75,5.19,-0.1053605156578263,4.06201920231798,3.6,0.5,8.087026647662292,1543.6,3653.9,2.174751721484161,0.1111505674650676,103.7607,0.0135677573493624
2015-01-02,63.27,63.028,,,,0.003839563368661647,8395.45,2058.2,8395.45,2058.2,-0.0020308619549876,-0.0182683898552132,0.11,8.75,5.37,0.0,4.06201920231798,3.6,0.5,8.087026647662292,1616.2,3316.4,2.174751721484161,0.1111505674650676,105.1685,0.0135677573493624
2015-01-03,63.27,63.27,,63.18933333333334,,0.0,8395.45,2058.2,8395.45,2058.2,-0.0020308619549876,-0.0182683898552132,0.11,8.5,5.25,-0.1053605156578263,4.06201920231798,3.6,0.5,8.087026647662292,1816.5,4116.3,2.174751721484161,0.1111505674650676,107.3647,0.0208826787488649
2015-01-04,63.27,63.27,63.028,63.27,,0.0,8395.45,2058.2,8395.45,2058.2,-0.0020308619549876,-0.0182683898552132,0.12,8.5,4.87,-0.2231435513142097,4.0,2.5,0.5,8.087026647662292,1945.6,4120.3,2.174751721484161,0.1111505674650676,106.3523,-0.0094295424846341
2015-01-05,63.338,63.27,63.27,63.29266666666667,,0.001074758969495715,8378.4,2020.6,8395.45,2058.2,-0.0020308619549876,-0.0182683898552132,0.12,8.5,5.01,0.0,4.0,2.5,0.5,8.087026647662292,1788.3,4042.0,2.174751721484161,0.1111505674650676,105.4065,-0.0088930845877334
2015-01-06,63.568,63.338,63.27,63.391999999999996,,0.003631311377056301,8127.35,2002.6,8378.4,2020.6,-0.029963954931729,-0.00890824507572,0.13,8.25,5.4,0.0953101798043248,4.0,2.5,0.5,8.087026647662292,2315.1,3786.0,2.174751721484161,0.1111505674650676,106.179,0.007328770047388
2015-01-07,63.273,63.568,63.27,63.393,,-0.004640699723131081,8102.1,2025.9,8127.35,2002.6,-0.0031067937273526,0.0116348746629382,0.13,8.25,3.69,0.1823215567939546,3.9496835316263,1.6,0.4000000000000003,8.07465169527454,1872.2,4102.4,2.174751721484161,0.1111505674650676,108.1236,0.0183143559460909
2015-01-08,62.668,63.273,63.338,63.16966666666667,0.0047867072551615744,-0.00956174039479718,8234.6,2062.1,8102.1,2025.9,0.0163537848212191,0.0178686016091613,0.14,8.25,3.74,0.1823215567939546,3.9496835316263,1.6,0.4000000000000003,8.07465169527454,1875.1,3805.6,2.174751721484161,0.1111505674650676,109.9768,0.0171396438890307
2015-01-09,62.11,62.668,63.568,62.68366666666666,0.0051351547679487864,-0.008904065870938949,8284.5,2044.8,8234.6,2062.1,0.0060597964685593,-0.0083895058435574,0.14,8.25,4.41,0.0,3.9496835316263,1.6,0.4000000000000003,8.07465169527454,1725.7,3672.8,2.174751721484161,0.1111505674650676,110.8513,0.0079516770809844
2015-01-10,62.11,62.11,63.273,62.296,0.0051351547679487864,0.0,8284.5,2044.8,8234.6,2062.1,0.0060597964685593,-0.0083895058435574,0.12,7.75,5.0,0.1823215567939546,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1829.5,3878.9,2.174751721484161,0.1111505674650676,109.9036,-0.0085492908066933
