Date,NIFTY,S&P500
02-01-2015,8395.45,"2,058.20"
05-01-2015,8378.4,"2,020.60"
06-01-2015,8127.35,"2,002.60"
07-01-2015,8102.1,"2,025.90"
08-01-2015,8234.6,"2,062.10"
09-01-2015,8284.5,"2,044.80"
12-01-2015,8323,"2,028.30"
13-01-2015,8299.4,"2,023.00"
14-01-2015,8277.55,"2,011.30"
15-01-2015,8494.15,"1,992.70"
16-01-2015,8513.8,"2,019.40"
20-01-2015,8695.6,"2,022.50"
21-01-2015,8729.5,"2,032.10"
22-01-2015,8761.4,"2,063.20"
23-01-2015,8835.6,"2,051.80"
27-01-2015,8910.5,"2,029.50"
28-01-2015,8914.3,"2,002.20"
29-01-2015,8952.35,"2,021.20"
30-01-2015,8808.9,"1,995.00"
02-02-2015,8797.4,"2,020.80"
03-02-2015,8756.55,"2,050.00"
04-02-2015,8723.7,"2,041.50"
05-02-2015,8711.7,"2,062.50"
06-02-2015,8661.05,"2,055.50"
09-02-2015,8526.35,"2,046.70"
10-02-2015,8565.55,"2,068.60"
11-02-2015,8627.4,"2,068.50"
12-02-2015,8711.55,"2,088.50"
13-02-2015,8805.5,"2,097.00"
18-02-2015,8869.1,"2,099.70"
19-02-2015,8895.3,"2,097.40"
20-02-2015,8833.6,"2,110.30"
23-02-2015,8754.95,"2,109.70"
24-02-2015,8762.1,"2,115.50"
25-02-2015,8767.25,"2,113.90"
26-02-2015,8683.85,"2,110.70"
27-02-2015,8844.6,"2,104.50"
02-03-2015,8956.75,"2,117.40"
03-03-2015,8996.25,"2,107.80"
04-03-2015,8922.65,"2,098.50"
05-03-2015,8937.75,"2,101.00"
09-03-2015,8756.75,"2,079.40"
10-03-2015,8712.05,"2,044.20"
11-03-2015,8699.95,"2,040.20"
12-03-2015,8776,"2,065.90"
13-03-2015,8647.75,"2,053.40"
16-03-2015,8633.15,"2,081.20"
17-03-2015,8723.3,"2,074.30"
18-03-2015,8685.9,"2,099.50"
19-03-2015,8634.65,"2,089.30"
20-03-2015,8570.9,"2,108.10"
23-03-2015,8550.9,"2,104.40"
24-03-2015,8542.95,"2,091.50"
25-03-2015,8530.8,"2,061.10"
26-03-2015,8342.15,"2,056.20"
27-03-2015,8341.4,"2,061.00"
30-03-2015,8492.3,"2,086.20"
31-03-2015,8491,"2,067.90"
01-04-2015,8586.25,"2,059.70"
06-04-2015,8659.9,"2,080.60"
07-04-2015,8660.3,"2,076.30"
08-04-2015,8714.4,"2,081.90"
09-04-2015,8778.3,"2,091.20"
10-04-2015,8780.35,"2,102.10"
13-04-2015,8834,"2,092.40"
15-04-2015,8750.2,"2,106.60"
16-04-2015,8706.7,"2,105.00"
17-04-2015,8606,"2,081.20"
20-04-2015,8448.1,"2,100.40"
21-04-2015,8377.75,"2,097.30"
22-04-2015,8429.7,"2,108.00"
23-04-2015,8398.3,"2,112.90"
24-04-2015,8305.25,"2,117.70"
27-04-2015,8213.8,"2,108.90"
28-04-2015,8285.6,"2,114.80"
29-04-2015,8239.75,"2,106.80"
30-04-2015,8181.5,"2,085.50"
04-05-2015,8331.95,"2,114.50"
05-05-2015,8324.8,"2,089.50"
06-05-2015,8097,"2,080.20"
07-05-2015,8057.3,"2,088.00"
08-05-2015,8191.5,"2,116.10"
11-05-2015,8325.25,"2,105.30"
12-05-2015,8126.95,"2,099.10"
13-05-2015,8235.45,"2,098.50"
14-05-2015,8224.2,"2,121.10"
15-05-2015,8262.35,"2,122.70"
18-05-2015,8373.65,"2,129.20"
19-05-2015,8365.65,"2,127.80"
20-05-2015,8423.25,"2,125.80"
21-05-2015,8421,"2,130.80"
22-05-2015,8458.95,"2,126.10"
26-05-2015,8339.35,"2,104.20"
27-05-2015,8334.6,"2,123.50"
28-05-2015,8319,"2,120.80"
29-05-2015,8433.65,"2,107.40"
01-06-2015,8433.4,"2,111.70"
02-06-2015,8236.45,"2,109.60"
03-06-2015,8135.1,"2,114.10"
04-06-2015,8130.65,"2,095.80"
05-06-2015,8114.7,"2,092.80"
08-06-2015,8044.15,"2,079.30"
09-06-2015,8022.4,"2,080.20"
10-06-2015,8124.45,"2,105.20"
11-06-2015,7965.35,"2,108.90"
12-06-2015,7982.9,"2,094.10"
15-06-2015,8013.9,"2,084.40"
16-06-2015,8047.3,"2,096.30"
17-06-2015,8091.55,"2,100.40"
18-06-2015,8174.6,"2,121.20"
19-06-2015,8224.95,"2,110.00"
22-06-2015,8353.1,"2,122.80"
23-06-2015,8381.55,"2,124.20"
24-06-2015,8360.85,"2,108.60"
25-06-2015,8398,"2,102.30"
26-06-2015,8381.1,"2,101.50"
29-06-2015,8318.4,"2,057.60"
30-06-2015,8368.5,"2,063.10"
01-07-2015,8453.05,"2,077.40"
02-07-2015,8444.9,"2,076.80"
06-07-2015,8522.15,"2,068.80"
07-07-2015,8510.8,"2,081.30"
08-07-2015,8363.05,"2,046.70"
09-07-2015,8328.55,"2,051.30"
10-07-2015,8360.55,"2,076.60"
13-07-2015,8459.65,"2,099.60"
14-07-2015,8454.1,"2,108.90"
15-07-2015,8523.8,"2,107.40"
16-07-2015,8608.05,"2,124.30"
17-07-2015,8609.85,"2,126.60"
20-07-2015,8603.45,"2,128.30"
21-07-2015,8529.45,"2,119.20"
22-07-2015,8633.5,"2,114.20"
23-07-2015,8589.8,"2,102.20"
24-07-2015,8521.55,"2,079.70"
27-07-2015,8361,"2,067.60"
28-07-2015,8337,"2,093.20"
29-07-2015,8375.05,"2,108.60"
30-07-2015,8421.8,"2,108.60"
31-07-2015,8532.85,"2,103.80"
03-08-2015,8543.05,"2,098.00"
04-08-2015,8516.9,"2,093.30"
05-08-2015,8567.95,"2,099.80"
06-08-2015,8588.65,"2,083.60"
07-08-2015,8564.6,"2,077.60"
10-08-2015,8525.6,"2,104.20"
11-08-2015,8462.35,"2,084.10"
12-08-2015,8349.45,"2,086.10"
13-08-2015,8355.85,"2,083.40"
14-08-2015,8518.55,"2,091.50"
17-08-2015,8477.3,"2,102.40"
18-08-2015,8466.55,"2,096.90"
19-08-2015,8495.15,"2,079.60"
20-08-2015,8372.75,"2,035.70"
21-08-2015,8299.95,"1,970.90"
24-08-2015,7809,"1,893.20"
25-08-2015,7880.7,"1,867.60"
26-08-2015,7791.85,"1,940.50"
27-08-2015,7948.95,"1,987.70"
28-08-2015,8001.95,"1,988.90"
31-08-2015,7971.3,"1,972.20"
01-09-2015,7785.85,"1,913.80"
02-09-2015,7717,"1,948.90"
03-09-2015,7823,"1,951.10"
04-09-2015,7655.05,"1,921.20"
08-09-2015,7688.25,"1,969.40"
09-09-2015,7818.6,"1,942.00"
10-09-2015,7788.1,"1,952.30"
11-09-2015,7789.3,"1,961.00"
14-09-2015,7872.25,"1,953.00"
15-09-2015,7829.1,"1,978.10"
16-09-2015,7899.15,"1,995.30"
18-09-2015,7981.9,"1,958.00"
21-09-2015,7977.1,"1,967.00"
22-09-2015,7812,"1,942.70"
23-09-2015,7845.95,"1,938.80"
24-09-2015,7868.5,"1,932.20"
28-09-2015,7795.7,"1,881.80"
29-09-2015,7843.3,"1,884.10"
30-09-2015,7948.9,"1,920.00"
01-10-2015,7950.9,"1,923.80"
05-10-2015,8119.3,"1,987.00"
06-10-2015,8152.9,"1,979.90"
07-10-2015,8177.4,"1,995.80"
08-10-2015,8129.35,"2,013.40"
09-10-2015,8189.7,"2,014.90"
12-10-2015,8143.6,"2,017.50"
13-10-2015,8131.7,"2,003.70"
14-10-2015,8107.9,"1,994.20"
15-10-2015,8179.5,"2,023.90"
16-10-2015,8238.15,"2,033.10"
19-10-2015,8275.05,"2,033.70"
20-10-2015,8261.65,"2,030.80"
21-10-2015,8251.7,"2,018.90"
23-10-2015,8295.45,"2,075.20"
26-10-2015,8260.55,"2,071.20"
27-10-2015,8232.9,"2,065.90"
28-10-2015,8171.2,"2,090.30"
29-10-2015,8111.75,"2,089.40"
30-10-2015,8065.8,"2,079.40"
02-11-2015,8050.8,"2,104.10"
03-11-2015,8060.7,"2,109.80"
04-11-2015,8040.2,"2,102.30"
05-11-2015,7955.45,"2,099.90"
06-11-2015,7954.3,"2,099.20"
09-11-2015,7915.2,"2,078.60"
10-11-2015,7783.35,"2,081.70"
11-11-2015,7825,"2,075.00"
13-11-2015,7762.25,"2,023.00"
16-11-2015,7806.6,"2,053.20"
17-11-2015,7837.55,"2,050.40"
18-11-2015,7731.8,"2,083.60"
19-11-2015,7842.75,"2,081.20"
20-11-2015,7856.55,"2,089.20"
23-11-2015,7849.25,"2,086.60"
24-11-2015,7831.6,"2,089.10"
27-11-2015,7942.7,"2,090.10"
30-11-2015,7935.25,"2,080.40"
01-12-2015,7954.9,"2,102.60"
02-12-2015,7931.35,"2,079.50"
03-12-2015,7864.15,"2,049.60"
04-12-2015,7781.9,"2,091.70"
07-12-2015,7765.4,"2,077.10"
08-12-2015,7701.7,"2,063.60"
09-12-2015,7612.5,"2,047.60"
10-12-2015,7683.3,"2,052.20"
11-12-2015,7610.45,"2,012.40"
14-12-2015,7650.05,"2,021.90"
15-12-2015,7700.9,"2,043.40"
16-12-2015,7750.9,"2,073.10"
17-12-2015,7844.35,"2,041.90"
18-12-2015,7761.95,"2,005.50"
21-12-2015,7834.45,"2,021.20"
22-12-2015,7786.1,"2,039.00"
23-12-2015,7865.95,"2,064.30"
24-12-2015,7861.05,"2,061.00"
28-12-2015,7925.15,"2,056.50"
29-12-2015,7928.95,"2,078.40"
30-12-2015,7896.25,"2,063.40"
31-12-2015,7946.35,"2,043.90"
04-01-2016,7791.3,"2,012.70"
05-01-2016,7784.65,"2,016.70"
06-01-2016,7741,"1,990.30"
07-01-2016,7568.3,"1,943.10"
08-01-2016,7601.35,"1,922.00"
11-01-2016,7563.85,"1,923.70"
12-01-2016,7510.3,"1,938.70"
13-01-2016,7562.4,"1,890.30"
14-01-2016,7536.8,"1,921.80"
15-01-2016,7437.8,"1,880.30"
19-01-2016,7435.1,"1,881.30"
20-01-2016,7309.3,"1,859.30"
21-01-2016,7276.8,"1,869.00"
22-01-2016,7422.45,"1,906.90"
25-01-2016,7436.15,"1,877.10"
27-01-2016,7437.75,"1,883.00"
28-01-2016,7424.65,"1,893.40"
29-01-2016,7563.55,"1,940.20"
01-02-2016,7555.95,"1,939.40"
02-02-2016,7455.55,"1,903.00"
03-02-2016,7361.8,"1,912.50"
04-02-2016,7404,"1,915.50"
05-02-2016,7489.1,"1,880.00"
08-02-2016,7387.25,"1,853.40"
09-02-2016,7298.2,"1,852.20"
10-02-2016,7215.7,"1,851.90"
11-02-2016,6976.35,"1,829.10"
12-02-2016,6980.95,"1,864.80"
16-02-2016,7048.25,"1,895.60"
17-02-2016,7108.45,"1,926.80"
18-02-2016,7191.75,"1,917.80"
19-02-2016,7210.75,"1,917.80"
22-02-2016,7234.55,"1,945.50"
23-02-2016,7109.55,"1,921.30"
24-02-2016,7018.7,"1,929.80"
25-02-2016,6970.6,"1,951.70"
26-02-2016,7029.75,"1,948.00"
29-02-2016,6987.05,"1,932.20"
01-03-2016,7222.3,"1,978.30"
02-03-2016,7368.85,"1,986.50"
03-03-2016,7475.6,"1,993.40"
04-03-2016,7485.35,"2,000.00"
08-03-2016,7485.3,"1,979.30"
09-03-2016,7531.8,"1,989.30"
10-03-2016,7486.15,"1,989.60"
11-03-2016,7510.2,"2,022.20"
14-03-2016,7538.75,"2,019.60"
15-03-2016,7460.6,"2,015.90"
16-03-2016,7498.75,"2,027.20"
17-03-2016,7512.55,"2,040.60"
18-03-2016,7604.35,"2,049.60"
21-03-2016,7704.25,"2,051.60"
22-03-2016,7714.9,"2,049.80"
23-03-2016,7716.5,"2,036.70"
28-03-2016,7615.1,"2,037.00"
29-03-2016,7597,"2,055.00"
30-03-2016,7735.2,"2,063.90"
31-03-2016,7738.4,"2,059.70"
01-04-2016,7713.05,"2,072.80"
04-04-2016,7758.8,"2,066.10"
05-04-2016,7603.2,"2,045.20"
06-04-2016,7614.35,"2,066.70"
07-04-2016,7546.45,"2,041.90"
08-04-2016,7555.2,"2,047.60"
11-04-2016,7671.4,"2,042.00"
12-04-2016,7708.95,"2,061.70"
13-04-2016,7850.45,"2,082.40"
18-04-2016,7914.7,"2,094.30"
20-04-2016,7914.75,"2,102.40"
21-04-2016,7912.05,"2,091.50"
22-04-2016,7899.3,"2,091.60"
25-04-2016,7855.05,"2,087.80"
26-04-2016,7962.65,"2,091.70"
27-04-2016,7979.9,"2,095.20"
28-04-2016,7847.25,"2,075.80"
29-04-2016,7849.8,"2,065.30"
02-05-2016,7805.9,"2,081.40"
03-05-2016,7747,"2,063.40"
04-05-2016,7706.55,"2,051.10"
05-05-2016,7735.5,"2,050.60"
06-05-2016,7733.45,"2,057.10"
09-05-2016,7866.05,"2,058.70"
10-05-2016,7887.8,"2,084.40"
11-05-2016,7848.85,"2,064.50"
12-05-2016,7900.4,"2,064.10"
13-05-2016,7814.9,"2,046.60"
16-05-2016,7860.75,"2,066.70"
17-05-2016,7890.75,"2,047.20"
18-05-2016,7870.15,"2,047.60"
19-05-2016,7783.4,"2,040.00"
