Date,Unemployment_Rate_India,US_Unemployment_Rate
2015-01-01,7.8,5.7
2015-02-01,7.6,5.5
2015-03-01,7.5,5.4
2015-04-01,7.7,5.4
2015-05-01,7.4,5.6
2015-06-01,7.6,5.3
2015-07-01,7.5,5.2
2015-08-01,7.7,5.1
2015-09-01,7.8,5.0
2015-10-01,7.6,5.0
2015-11-01,7.5,5.1
2015-12-01,7.7,5.0
2016-01-01,8.3,4.8
2016-02-01,6.96,4.9
2016-03-01,9.31,5.0
2016-04-01,7.78,5.1
2016-05-01,8.06,4.8
2016-06-01,7.68,4.9
2016-07-01,7.42,4.8
2016-08-01,9.31,4.9
2016-09-01,8.16,5.0
2016-10-01,6.13,4.9
2016-11-01,4.62,4.7
2016-12-01,5.69,4.7
2017-01-01,4.28,4.7
2017-02-01,4.09,4.6
2017-03-01,3.47,4.4
2017-04-01,3.91,4.4
2017-05-01,3.21,4.4
2017-06-01,3.3,4.3
2017-07-01,3.68,4.3
2017-08-01,3.7,4.4
2017-09-01,3.61,4.3
2017-10-01,4.67,4.2
2017-11-01,4.96,4.2
2017-12-01,4.72,4.1
2018-01-01,4.34,4.0
2018-02-01,6.2,4.1
2018-03-01,6.25,4.0
2018-04-01,6.51,4.0
2018-05-01,4.77,3.8
2018-06-01,4.72,4.0
2018-07-01,5.35,3.8
2018-08-01,6.44,3.8
2018-09-01,6.25,3.7
2018-10-01,6.47,3.8
2018-11-01,6.25,3.8
2018-12-01,7.42,3.9
2019-01-01,6.34,4.0
2019-02-01,6.886,3.8
2019-03-01,6.34,3.8
2019-04-01,7.13,3.7
2019-05-01,6.775,3.6
2019-06-01,7.818,3.6
2019-07-01,7.245,3.7
2019-08-01,8.21,3.6
2019-09-01,6.572,3.5
2019-10-01,7.9,3.6
2019-11-01,6.92,3.6
2019-12-01,6.96,3.6
2020-01-01,6.22,3.6
2020-02-01,7.51,3.5
2020-03-01,9.81,4.4
2020-04-01,23.42,14.8
2020-05-01,22.86,13.2
2020-06-01,12.488,11.0
2020-07-01,7.47,10.2
2020-08-01,7.73,8.4
2020-09-01,6.116,7.8
2020-10-01,6.83,6.9
2020-11-01,7.512,6.7
2020-12-01,9.46,6.7
2021-01-01,5.39,6.4
2021-02-01,6.62,6.2
2021-03-01,6.15,6.1
2021-04-01,7.315,6.1
2021-05-01,10.616,5.8
2021-06-01,8.755,5.9
2021-07-01,6.695,5.4
2021-08-01,7.252,5.1
2021-09-01,6.017,4.7
2021-10-01,7.7,4.5
2021-11-01,7.0,4.2
2021-12-01,7.9,3.9
2022-01-01,6.6,4.0
2022-02-01,8.1,3.8
2022-03-01,7.6,3.7
2022-04-01,7.8,3.7
2022-05-01,7.1,3.6
2022-06-01,7.8,3.6
2022-07-01,6.8,3.5
2022-08-01,8.3,3.6
2022-09-01,6.4,3.5
2022-10-01,7.9,3.6
2022-11-01,8.0,3.6
2022-12-01,8.3,3.5
2023-01-01,7.11,3.5
2023-02-01,7.45,3.6
2023-03-01,8.06,3.5
2023-04-01,8.54,3.4
2023-05-01,7.64,3.6
2023-06-01,8.53,3.6
2023-07-01,7.88,3.5
2023-08-01,8.1,3.7
2023-09-01,7.09,3.8
2023-10-01,9.42,3.9
2023-11-01,8.88,3.7
2023-12-01,8.65,3.8
2024-01-01,7.4,3.7
2024-02-01,8.1,3.9
2024-03-01,7.4,3.9
2024-04-01,8.1,3.9
2024-05-01,7.0,4.0
2024-06-01,9.2,4.1
2024-07-01,7.9,4.2
2024-08-01,8.5,4.2
2024-09-01,7.8,4.1
2024-10-01,8.7,4.1
2024-11-01,8.0,4.2
2024-12-01,8.3,4.1
2025-01-01,8.2,4.0
2025-02-01,6.4,4.1
2025-03-01,6.4,
